2022-09-30 09:17:05.382269 Start \(≧▽≦)/
2022-09-30 09:17:05.382348 Loading data from pkl...
2022-09-30 09:17:06.613260 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-30 09:17:34.034485 Step 2/27: loss = 3.184, loss_main = 3.183, loss_regu = 0.001
2022-09-30 09:17:34.230565 Step 3/27: loss = 3.132, loss_main = 3.131, loss_regu = 0.001
2022-09-30 09:17:34.428952 Step 4/27: loss = 3.169, loss_main = 3.168, loss_regu = 0.001
2022-09-30 09:17:34.622485 Step 5/27: loss = 3.165, loss_main = 3.164, loss_regu = 0.001
2022-09-30 09:17:34.834135 Step 6/27: loss = 3.132, loss_main = 3.131, loss_regu = 0.001
2022-09-30 09:17:35.020065 Step 7/27: loss = 3.172, loss_main = 3.170, loss_regu = 0.001
2022-09-30 09:17:35.219146 Step 8/27: loss = 3.155, loss_main = 3.154, loss_regu = 0.001
2022-09-30 09:17:35.398011 Step 9/27: loss = 3.160, loss_main = 3.159, loss_regu = 0.001
2022-09-30 09:17:35.598583 Step 10/27: loss = 3.180, loss_main = 3.179, loss_regu = 0.001
2022-09-30 09:17:35.788815 Step 11/27: loss = 3.180, loss_main = 3.179, loss_regu = 0.001
2022-09-30 09:17:35.977751 Step 12/27: loss = 3.202, loss_main = 3.201, loss_regu = 0.001
2022-09-30 09:17:36.157957 Step 13/27: loss = 3.165, loss_main = 3.164, loss_regu = 0.001
2022-09-30 09:17:36.346973 Step 14/27: loss = 3.163, loss_main = 3.162, loss_regu = 0.001
2022-09-30 09:17:36.556717 Step 15/27: loss = 3.167, loss_main = 3.166, loss_regu = 0.001
2022-09-30 09:17:36.744256 Step 16/27: loss = 3.173, loss_main = 3.172, loss_regu = 0.001
2022-09-30 09:17:36.933696 Step 17/27: loss = 3.149, loss_main = 3.148, loss_regu = 0.001
2022-09-30 09:17:37.113714 Step 18/27: loss = 3.146, loss_main = 3.145, loss_regu = 0.001
2022-09-30 09:17:37.294115 Step 19/27: loss = 3.162, loss_main = 3.161, loss_regu = 0.001
2022-09-30 09:17:37.479908 Step 20/27: loss = 3.194, loss_main = 3.193, loss_regu = 0.001
2022-09-30 09:17:37.674490 Step 21/27: loss = 3.122, loss_main = 3.121, loss_regu = 0.001
